,predictor_Gaussian,estimate_Gaussian,t-value_Gaussian,predictor_Gaussian1,estimate_Gaussian1,t-value_Gaussian1,predictor_Gaussian2,estimate_Gaussian2,t-value_Gaussian2,predictor_Gaussian3,estimate_Gaussian3,t-value_Gaussian3,predictor_Gaussian4,estimate_Gaussian4,t-value_Gaussian4,predictor_Gaussian5,estimate_Gaussian5,t-value_Gaussian5,predictor_Gaussian6,estimate_Gaussian6,t-value_Gaussian6,predictor_ALD,estimate_ALD,t-value_ALD,predictor_ALD1,estimate_ALD1,t-value_ALD1,predictor_ALD2,estimate_ALD2,t-value_ALD2,predictor_ALD3,estimate_ALD3,t-value_ALD3,predictor_ALD4,estimate_ALD4,t-value_ALD4,predictor_ALD5,estimate_ALD5,t-value_ALD5,predictor_ALD6,estimate_ALD6,t-value_ALD6,predictor_Mixed,estimate_Mixed,t-value_Mixed,predictor_Mixed1,estimate_Mixed1,t-value_Mixed1,predictor_Mixed2,estimate_Mixed2,t-value_Mixed2,predictor_Mixed3,estimate_Mixed3,t-value_Mixed3,predictor_Mixed4,estimate_Mixed4,t-value_Mixed4,predictor_Mixed5,estimate_Mixed5,t-value_Mixed5,predictor_Mixed6,estimate_Mixed6,t-value_Mixed6
35,II0.9:anlDP_Inform,0.6,4.5,II0.9:anlDP_Inform,1,5.4,II0.9:anlDP_Inform,1.1,4,II0.9:anlDP_Inform,1.8,4.8,II0.9:anlDP_Inform,1.2,4.1,II0.9:anlDP_Inform,1,5,II0.9:anlDP_Inform,0.6,4.3,II0.9:anlDP_Inform,1.9,10,II0.9:anlDP_Inform,4.4,20,II0.9:anlDP_Inform,5.2,17.7,II0.9:anlDP_Inform,2,5.1,II0.9:anlDP_Inform,0.5,2,II0.9:anlDP_Inform,0.2,1.7,II0.9:anlDP_Inform,0.4,3.6,II0.9:anlDP_Inform,1.5,6.9,II0.9:anlDP_Inform,3.4,14.4,II0.9:anlDP_Inform,4.6,15.9,II0.9:anlDP_Inform,4,10.1,II0.9:anlDP_Inform,-0.1,-0.3,II0.9:anlDP_Inform,1.1,7.3,II0.9:anlDP_Inform,1.1,8.4
36,II0.5:estCB,-2.3,-14.7,II0.5:estCB,-1.4,-6.7,II0.5:estCB,5,15.2,II0.5:estCB,12.7,30.1,II0.5:estCB,5.6,16.5,II0.5:estCB,-0.7,-3,II0.5:estCB,-1.9,-11.5,II0.5:estCB,-4.1,-17.4,II0.5:estCB,-2.1,-7.8,II0.5:estCB,2.2,6.9,II0.5:estCB,10.4,22.2,II0.5:estCB,3.7,13.1,II0.5:estCB,-0.7,-4.1,II0.5:estCB,-1.6,-11.5,II0.5:estCB,-3.5,-13.5,II0.5:estCB,-1.6,-5.7,II0.5:estCB,2.8,8.4,II0.5:estCB,10.9,24.1,II0.5:estCB,4.2,14.7,II0.5:estCB,-0.5,-2.7,II0.5:estCB,-0.8,-5.6
37,II0.9:estCB,-1.7,-11.2,II0.9:estCB,0.5,2.3,II0.9:estCB,8.6,28.5,II0.9:estCB,15.6,40.8,II0.9:estCB,9.4,30.3,II0.9:estCB,1.3,5.9,II0.9:estCB,-1.3,-8.2,II0.9:estCB,-4.2,-18.5,II0.9:estCB,-1,-3.7,II0.9:estCB,6.7,20.8,II0.9:estCB,16.4,41.1,II0.9:estCB,7.3,27.2,II0.9:estCB,0.9,5.6,II0.9:estCB,-1.2,-8.2,II0.9:estCB,-4.5,-17.7,II0.9:estCB,-1.2,-4.4,II0.9:estCB,7.5,23.8,II0.9:estCB,16.6,41.5,II0.9:estCB,8.1,30.8,II0.9:estCB,1.8,10.3,II0.9:estCB,-0.4,-2.4
38,II0.5:estGR,-2,-13.5,II0.5:estGR,-1,-5.2,II0.5:estGR,4.6,14.2,II0.5:estGR,11.7,27.8,II0.5:estGR,4.9,14.7,II0.5:estGR,-0.7,-3.1,II0.5:estGR,-1.8,-11.1,II0.5:estGR,-3.6,-15.8,II0.5:estGR,-2.2,-8.4,II0.5:estGR,1.3,4.3,II0.5:estGR,9.8,20.8,II0.5:estGR,2.7,9.6,II0.5:estGR,-0.1,-0.9,II0.5:estGR,-1.1,-8.3,II0.5:estGR,-3,-12.2,II0.5:estGR,-1.7,-6.1,II0.5:estGR,2.3,7,II0.5:estGR,11.1,24.5,II0.5:estGR,3.2,11.2,II0.5:estGR,0.2,1,II0.5:estGR,-0.7,-5.2
39,II0.9:estGR,-1.4,-9.4,II0.9:estGR,0.5,2.7,II0.9:estGR,8.1,27.3,II0.9:estGR,14.8,38.6,II0.9:estGR,8.7,28.5,II0.9:estGR,1.3,5.8,II0.9:estGR,-1.1,-7,II0.9:estGR,-4.2,-19.4,II0.9:estGR,-1.7,-6.8,II0.9:estGR,5.3,17.2,II0.9:estGR,15.5,38.8,II0.9:estGR,7.1,26.9,II0.9:estGR,1.3,8.4,II0.9:estGR,-0.9,-6.5,II0.9:estGR,-4.3,-17.5,II0.9:estGR,-1.8,-6.6,II0.9:estGR,6.2,20.4,II0.9:estGR,15.2,38.1,II0.9:estGR,8,30.6,II0.9:estGR,1.7,10.7,II0.9:estGR,-0.5,-3.1
40,RR5:anlDP_diffuse,-0.4,-2.4,RR5:anlDP_diffuse,-0.3,-1.7,RR5:anlDP_diffuse,0.2,0.6,RR5:anlDP_diffuse,0.6,1.8,RR5:anlDP_diffuse,-0.2,-0.7,RR5:anlDP_diffuse,-0.6,-2.9,RR5:anlDP_diffuse,-0.8,-4.5,RR5:anlDP_diffuse,-0.4,-1.8,RR5:anlDP_diffuse,-0.1,-0.6,RR5:anlDP_diffuse,0,0.2,RR5:anlDP_diffuse,0.3,0.7,RR5:anlDP_diffuse,-0.2,-0.7,RR5:anlDP_diffuse,-0.6,-3.7,RR5:anlDP_diffuse,-0.6,-4.4,RR5:anlDP_diffuse,-0.7,-2.9,RR5:anlDP_diffuse,-0.4,-1.7,RR5:anlDP_diffuse,0.5,1.6,RR5:anlDP_diffuse,0.4,0.9,RR5:anlDP_diffuse,0.3,1,RR5:anlDP_diffuse,-0.4,-2.2,RR5:anlDP_diffuse,-0.4,-2.4
41,RR10:anlDP_diffuse,-0.8,-5.1,RR10:anlDP_diffuse,-0.6,-3,RR10:anlDP_diffuse,0.2,0.9,RR10:anlDP_diffuse,1.1,3.4,RR10:anlDP_diffuse,-0.1,-0.2,RR10:anlDP_diffuse,-0.9,-4.4,RR10:anlDP_diffuse,-1,-6.4,RR10:anlDP_diffuse,-0.8,-4.1,RR10:anlDP_diffuse,-0.4,-1.9,RR10:anlDP_diffuse,0.3,0.9,RR10:anlDP_diffuse,0.3,0.8,RR10:anlDP_diffuse,-0.2,-0.6,RR10:anlDP_diffuse,-0.8,-5.1,RR10:anlDP_diffuse,-0.9,-6.1,RR10:anlDP_diffuse,-1.2,-5.3,RR10:anlDP_diffuse,-0.8,-3.1,RR10:anlDP_diffuse,0.6,2,RR10:anlDP_diffuse,0.5,1.4,RR10:anlDP_diffuse,0.4,1.4,RR10:anlDP_diffuse,-0.5,-3.1,RR10:anlDP_diffuse,-0.6,-4.3
42,RR5:anlDP_Inform,0,-0.3,RR5:anlDP_Inform,-0.2,-1.1,RR5:anlDP_Inform,-0.2,-0.6,RR5:anlDP_Inform,-0.3,-0.9,RR5:anlDP_Inform,-0.2,-0.6,RR5:anlDP_Inform,0,0.1,RR5:anlDP_Inform,-0.1,-1,RR5:anlDP_Inform,0.1,0.5,RR5:anlDP_Inform,0.1,0.7,RR5:anlDP_Inform,-0.3,-1.1,RR5:anlDP_Inform,-0.6,-1.6,RR5:anlDP_Inform,-0.2,-0.8,RR5:anlDP_Inform,-0.1,-1,RR5:anlDP_Inform,-0.1,-0.7,RR5:anlDP_Inform,-0.1,-0.3,RR5:anlDP_Inform,0,0.2,RR5:anlDP_Inform,0.2,0.5,RR5:anlDP_Inform,-0.3,-0.7,RR5:anlDP_Inform,0.1,0.5,RR5:anlDP_Inform,0,0,RR5:anlDP_Inform,0.1,0.7
43,RR10:anlDP_Inform,-0.1,-0.6,RR10:anlDP_Inform,-0.2,-1,RR10:anlDP_Inform,-0.1,-0.6,RR10:anlDP_Inform,-0.2,-0.6,RR10:anlDP_Inform,-0.2,-0.6,RR10:anlDP_Inform,0,-0.3,RR10:anlDP_Inform,-0.1,-0.6,RR10:anlDP_Inform,0.2,1,RR10:anlDP_Inform,0.4,2.1,RR10:anlDP_Inform,-0.5,-1.6,RR10:anlDP_Inform,-1.1,-2.7,RR10:anlDP_Inform,-0.2,-0.8,RR10:anlDP_Inform,-0.1,-0.9,RR10:anlDP_Inform,-0.1,-0.5,RR10:anlDP_Inform,-0.1,-0.5,RR10:anlDP_Inform,0.2,1,RR10:anlDP_Inform,0,-0.2,RR10:anlDP_Inform,-0.9,-2.4,RR10:anlDP_Inform,0.1,0.5,RR10:anlDP_Inform,0.1,0.4,RR10:anlDP_Inform,0.1,1
44,RR5:estCB,-0.2,-1.7,RR5:estCB,-0.2,-0.8,RR5:estCB,-0.1,-0.3,RR5:estCB,0.4,1,RR5:estCB,0.4,1.4,RR5:estCB,-0.5,-2.4,RR5:estCB,-0.6,-4,RR5:estCB,-0.4,-2,RR5:estCB,-0.5,-2,RR5:estCB,-0.5,-1.7,RR5:estCB,0.4,1,RR5:estCB,0.3,1.2,RR5:estCB,-0.5,-3.5,RR5:estCB,-0.6,-4.3,RR5:estCB,-0.5,-2.4,RR5:estCB,-0.5,-1.8,RR5:estCB,-0.2,-0.5,RR5:estCB,0.8,1.9,RR5:estCB,0.3,1.2,RR5:estCB,-0.6,-3.4,RR5:estCB,-0.5,-3.3
45,RR10:estCB,-0.6,-4.4,RR10:estCB,-0.6,-3.3,RR10:estCB,-0.1,-0.4,RR10:estCB,0.8,2.1,RR10:estCB,0.6,2.1,RR10:estCB,-0.8,-3.6,RR10:estCB,-0.9,-5.8,RR10:estCB,-0.8,-4.4,RR10:estCB,-1.2,-5.3,RR10:estCB,-1.2,-3.9,RR10:estCB,0.4,1.1,RR10:estCB,0.5,1.9,RR10:estCB,-0.9,-5.8,RR10:estCB,-0.8,-6,RR10:estCB,-0.7,-3.3,RR10:estCB,-0.8,-3.4,RR10:estCB,-0.7,-2.4,RR10:estCB,1.2,3,RR10:estCB,0.8,3.2,RR10:estCB,-0.9,-5.6,RR10:estCB,-0.7,-5.3
46,RR5:estGR,0.1,1,RR5:estGR,0.4,2.1,RR5:estGR,0,0,RR5:estGR,-0.4,-1.1,RR5:estGR,0.3,1,RR5:estGR,0,-0.1,RR5:estGR,-0.2,-1.4,RR5:estGR,-0.2,-0.8,RR5:estGR,-0.2,-1.1,RR5:estGR,-0.5,-1.8,RR5:estGR,-0.3,-0.7,RR5:estGR,0.1,0.4,RR5:estGR,-0.1,-0.5,RR5:estGR,-0.1,-0.5,RR5:estGR,-0.2,-1,RR5:estGR,0,-0.1,RR5:estGR,0,-0.1,RR5:estGR,0.1,0.2,RR5:estGR,-0.2,-0.9,RR5:estGR,0,0,RR5:estGR,0,0
47,RR10:estGR,0.1,0.5,RR10:estGR,0.3,1.6,RR10:estGR,-0.1,-0.3,RR10:estGR,-0.6,-1.6,RR10:estGR,0.3,1.1,RR10:estGR,0.1,0.4,RR10:estGR,-0.1,-0.9,RR10:estGR,-0.4,-2.3,RR10:estGR,-0.4,-2,RR10:estGR,-0.6,-2.1,RR10:estGR,-0.8,-2,RR10:estGR,-0.3,-1.2,RR10:estGR,-0.2,-1.4,RR10:estGR,-0.1,-1.1,RR10:estGR,-0.1,-0.3,RR10:estGR,0.2,0.8,RR10:estGR,-0.4,-1.3,RR10:estGR,-0.4,-0.9,RR10:estGR,-0.3,-1.1,RR10:estGR,0.1,0.4,RR10:estGR,0.1,0.9
48,anlDP_diffuse:estCB,1.8,12.9,anlDP_diffuse:estCB,1.8,9.5,anlDP_diffuse:estCB,1.7,5.8,anlDP_diffuse:estCB,1.2,3.4,anlDP_diffuse:estCB,1.3,4.4,anlDP_diffuse:estCB,1.5,7.3,anlDP_diffuse:estCB,1.6,10.4,anlDP_diffuse:estCB,2.3,11,anlDP_diffuse:estCB,2.2,9.3,anlDP_diffuse:estCB,0.9,3,anlDP_diffuse:estCB,2,5,anlDP_diffuse:estCB,0.6,2.1,anlDP_diffuse:estCB,0.6,4.1,anlDP_diffuse:estCB,1.3,9.9,anlDP_diffuse:estCB,2.1,9.4,anlDP_diffuse:estCB,1.9,7.7,anlDP_diffuse:estCB,0.9,3.1,anlDP_diffuse:estCB,2,5.2,anlDP_diffuse:estCB,0.8,3.3,anlDP_diffuse:estCB,0.9,5.3,anlDP_diffuse:estCB,1.5,10.3
49,anlDP_Inform:estCB,0.2,1.4,anlDP_Inform:estCB,0.1,0.5,anlDP_Inform:estCB,0.2,0.6,anlDP_Inform:estCB,0.4,1,anlDP_Inform:estCB,0.1,0.4,anlDP_Inform:estCB,0.1,0.5,anlDP_Inform:estCB,0.1,1.1,anlDP_Inform:estCB,0,-0.2,anlDP_Inform:estCB,0.5,2.8,anlDP_Inform:estCB,-0.3,-1,anlDP_Inform:estCB,0.5,1.1,anlDP_Inform:estCB,0.5,1.9,anlDP_Inform:estCB,0,0.2,anlDP_Inform:estCB,0.2,1.4,anlDP_Inform:estCB,-0.3,-1.4,anlDP_Inform:estCB,-0.1,-0.3,anlDP_Inform:estCB,-0.6,-2.1,anlDP_Inform:estCB,0.9,2.3,anlDP_Inform:estCB,0.3,1.3,anlDP_Inform:estCB,0.3,1.9,anlDP_Inform:estCB,0.4,3.2
50,anlDP_diffuse:estGR,1.9,14.3,anlDP_diffuse:estGR,2,10.7,anlDP_diffuse:estGR,1.3,4.5,anlDP_diffuse:estGR,0.3,0.9,anlDP_diffuse:estGR,0.8,2.9,anlDP_diffuse:estGR,1.6,8.1,anlDP_diffuse:estGR,1.6,11.2,anlDP_diffuse:estGR,2.3,11.7,anlDP_diffuse:estGR,2.1,9.2,anlDP_diffuse:estGR,0.3,0.9,anlDP_diffuse:estGR,0.4,1,anlDP_diffuse:estGR,0.2,0.9,anlDP_diffuse:estGR,0.8,5.2,anlDP_diffuse:estGR,1.4,11.3,anlDP_diffuse:estGR,2.1,9.4,anlDP_diffuse:estGR,1.7,7,anlDP_diffuse:estGR,0.4,1.5,anlDP_diffuse:estGR,0.3,0.7,anlDP_diffuse:estGR,0.5,1.8,anlDP_diffuse:estGR,0.9,5.7,anlDP_diffuse:estGR,1.5,11.2
51,anlDP_Inform:estGR,0.2,1.5,anlDP_Inform:estGR,0.3,1.8,anlDP_Inform:estGR,0.4,1.5,anlDP_Inform:estGR,0.6,1.6,anlDP_Inform:estGR,0.4,1.6,anlDP_Inform:estGR,0.3,1.6,anlDP_Inform:estGR,0.2,1.8,anlDP_Inform:estGR,-0.2,-1,anlDP_Inform:estGR,0.5,2.5,anlDP_Inform:estGR,-0.6,-2.3,anlDP_Inform:estGR,0,-0.1,anlDP_Inform:estGR,0.3,1.1,anlDP_Inform:estGR,0,0.4,anlDP_Inform:estGR,0.2,2.2,anlDP_Inform:estGR,-0.7,-3.7,anlDP_Inform:estGR,-0.5,-2.5,anlDP_Inform:estGR,-0.3,-1,anlDP_Inform:estGR,0.2,0.6,anlDP_Inform:estGR,0.1,0.3,anlDP_Inform:estGR,0.4,2.8,anlDP_Inform:estGR,0.4,3.4
