"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"129","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","DP-diffuse","ML",0.359658138560022
"130","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","DP-diffuse","PM",0.157606090877023
"131","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","DP-diffuse","CB",0.100995715060895
"132","ISEL","Gaussian","N = 50","ICC = 0.1","R = 5","DP-diffuse","GR",0.0902020268226764
"133","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","Gaussian","ML",0.385116544904667
"134","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","Gaussian","PM",0.171379016046416
"135","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","Gaussian","CB",0.0656212348231449
"136","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","Gaussian","GR",0.0666469105108788
"137","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","T","ML",0.385116544904667
"138","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","T","PM",0.165934475806767
"139","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","T","CB",0.0637324769513318
"140","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","T","GR",0.0637910937973129
"141","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","DP-diffuse","ML",0.385116544904667
"142","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","DP-diffuse","PM",0.14126494188637
"143","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","DP-diffuse","CB",0.0798038388019919
"144","ISEL","Gaussian","N = 50","ICC = 0.1","R = 10","DP-diffuse","GR",0.0680953644828418
"145","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","Gaussian","ML",0.0351835150438176
"146","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","Gaussian","PM",0.0449090883383819
"147","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","Gaussian","CB",0.0198720470678154
"148","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","Gaussian","GR",0.0188656669984483
"149","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","T","ML",0.0351835150438176
"150","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","T","PM",0.0490635337850443
"151","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","T","CB",0.0209961361638631
"152","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","T","GR",0.0204910485974391
"153","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","DP-diffuse","ML",0.0351835150438176
"154","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","DP-diffuse","PM",0.0347198800292776
"155","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","DP-diffuse","CB",0.0188185088653248
"156","ISEL","Gaussian","N = 50","ICC = 0.5","R = 1","DP-diffuse","GR",0.0144120319569096
"157","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","Gaussian","ML",0.0466227484772696
"158","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","Gaussian","PM",0.0381759484805374
"159","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","Gaussian","CB",0.0181203356920184
"160","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","Gaussian","GR",0.0142784608552911
"161","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","T","ML",0.0466227484772696
"162","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","T","PM",0.0401866696286448
"163","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","T","CB",0.0192241939461879
"164","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","T","GR",0.0149859968254571
"165","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","DP-diffuse","ML",0.0466227484772696
"166","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","DP-diffuse","PM",0.035710198871656
"167","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","DP-diffuse","CB",0.0200457012337314
"168","ISEL","Gaussian","N = 50","ICC = 0.5","R = 5","DP-diffuse","GR",0.0151168333896007
"169","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","Gaussian","ML",0.0562833441510763
"170","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","Gaussian","PM",0.0359856124077141
"171","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","Gaussian","CB",0.0160789545826418
"172","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","Gaussian","GR",0.0124080294588521
"173","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","T","ML",0.0562833441510763
"174","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","T","PM",0.0383714761900101
"175","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","T","CB",0.0175166540413694
"176","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","T","GR",0.0129582254528351
"177","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","DP-diffuse","ML",0.0562833441510763
"178","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","DP-diffuse","PM",0.0361035111342437
"179","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","DP-diffuse","CB",0.0183088033314379
"180","ISEL","Gaussian","N = 50","ICC = 0.5","R = 10","DP-diffuse","GR",0.0145484570588931
"181","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","Gaussian","ML",0.00571554995439197
"182","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","Gaussian","PM",0.00564730337309912
"183","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","Gaussian","CB",0.00524130178664183
"184","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","Gaussian","GR",0.00389449366243552
"185","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","T","ML",0.00571554995439197
"186","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","T","PM",0.00601255606275498
"187","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","T","CB",0.00541909333265186
"188","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","T","GR",0.00401546482974261
"189","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","DP-diffuse","ML",0.00571554995439197
"190","ISEL","Gaussian","N = 50","ICC = 0.9","R = 1","DP-diffuse","PM",0.00678873180968541
