"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"125","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.9",0.9792,0.0792
"126","Gaussian","N = 25","ICC = 0.1","R = 5","T","PM","0.95",0.9876,0.0376
"127","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.05",0.0796000000000001,0.0296
"128","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.1",0.1288,0.0288
"129","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.25",0.2712,0.0212
"130","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.5",0.5236,0.0236
"131","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.75",0.7728,0.0228
"132","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.9",0.8916,-0.0084
"133","Gaussian","N = 25","ICC = 0.1","R = 5","T","CB","0.95",0.9324,-0.0176
"134","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.05",0.0668,0.0168
"135","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.1",0.1104,0.0104
"136","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.25",0.2508,8e-04
"137","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.5",0.5276,0.0276
"138","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.75",0.7864,0.0364
"139","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.9",0.9076,0.0076
"140","Gaussian","N = 25","ICC = 0.1","R = 5","T","GR","0.95",0.939199999999999,-0.0108
"141","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.05",0.306,0.256
"142","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.1",0.3492,0.2492
"143","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.25",0.4196,0.1696
"144","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.5",0.508,0.008
"145","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.75",0.5976,-0.1524
"146","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.9",0.6736,-0.2264
"147","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","ML","0.95",0.7164,-0.2336
"148","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.05",0.0236,-0.0264
"149","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.1",0.0588,-0.0412
"150","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.25",0.2192,-0.0308
"151","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.5",0.5476,0.0476
"152","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.75",0.8424,0.0924
"153","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.9",0.9588,0.0588
"154","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","PM","0.95",0.9784,0.0284
"155","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.05",0.1476,0.0976
"156","Gaussian","N = 25","ICC = 0.1","R = 5","DP-diffuse","CB","0.1",0.208,0.108
