"","truth","N","ICC","rsr","assumed","df","fname","dg_name"
"109","Gaussian",200,0.1,1,"Gaussian",5,"Gaussian_200_0.1_1_Gaussian","Gaussian_200_0.1_1"
"110","Gaussian",200,0.1,1,"T",5,"Gaussian_200_0.1_1_T","Gaussian_200_0.1_1"
"111","Gaussian",200,0.1,1,"DP-diffuse",5,"Gaussian_200_0.1_1_DP-diffuse","Gaussian_200_0.1_1"
"112","Gaussian",200,0.1,1,"DP-EB",5,"Gaussian_200_0.1_1_DP-EB","Gaussian_200_0.1_1"
"113","Gaussian",200,0.1,5,"Gaussian",5,"Gaussian_200_0.1_5_Gaussian","Gaussian_200_0.1_5"
"114","Gaussian",200,0.1,5,"T",5,"Gaussian_200_0.1_5_T","Gaussian_200_0.1_5"
"115","Gaussian",200,0.1,5,"DP-diffuse",5,"Gaussian_200_0.1_5_DP-diffuse","Gaussian_200_0.1_5"
"116","Gaussian",200,0.1,5,"DP-EB",5,"Gaussian_200_0.1_5_DP-EB","Gaussian_200_0.1_5"
"117","Gaussian",200,0.1,10,"Gaussian",5,"Gaussian_200_0.1_10_Gaussian","Gaussian_200_0.1_10"
"118","Gaussian",200,0.1,10,"T",5,"Gaussian_200_0.1_10_T","Gaussian_200_0.1_10"
"119","Gaussian",200,0.1,10,"DP-diffuse",5,"Gaussian_200_0.1_10_DP-diffuse","Gaussian_200_0.1_10"
"120","Gaussian",200,0.1,10,"DP-EB",5,"Gaussian_200_0.1_10_DP-EB","Gaussian_200_0.1_10"
"121","Gaussian",200,0.5,1,"Gaussian",5,"Gaussian_200_0.5_1_Gaussian","Gaussian_200_0.5_1"
"122","Gaussian",200,0.5,1,"T",5,"Gaussian_200_0.5_1_T","Gaussian_200_0.5_1"
"123","Gaussian",200,0.5,1,"DP-diffuse",5,"Gaussian_200_0.5_1_DP-diffuse","Gaussian_200_0.5_1"
"124","Gaussian",200,0.5,1,"DP-EB",5,"Gaussian_200_0.5_1_DP-EB","Gaussian_200_0.5_1"
"125","Gaussian",200,0.5,5,"Gaussian",5,"Gaussian_200_0.5_5_Gaussian","Gaussian_200_0.5_5"
"126","Gaussian",200,0.5,5,"T",5,"Gaussian_200_0.5_5_T","Gaussian_200_0.5_5"
"127","Gaussian",200,0.5,5,"DP-diffuse",5,"Gaussian_200_0.5_5_DP-diffuse","Gaussian_200_0.5_5"
"128","Gaussian",200,0.5,5,"DP-EB",5,"Gaussian_200_0.5_5_DP-EB","Gaussian_200_0.5_5"
"129","Gaussian",200,0.5,10,"Gaussian",5,"Gaussian_200_0.5_10_Gaussian","Gaussian_200_0.5_10"
"130","Gaussian",200,0.5,10,"T",5,"Gaussian_200_0.5_10_T","Gaussian_200_0.5_10"
"131","Gaussian",200,0.5,10,"DP-diffuse",5,"Gaussian_200_0.5_10_DP-diffuse","Gaussian_200_0.5_10"
"132","Gaussian",200,0.5,10,"DP-EB",5,"Gaussian_200_0.5_10_DP-EB","Gaussian_200_0.5_10"
"133","Gaussian",200,0.9,1,"Gaussian",5,"Gaussian_200_0.9_1_Gaussian","Gaussian_200_0.9_1"
"134","Gaussian",200,0.9,1,"T",5,"Gaussian_200_0.9_1_T","Gaussian_200_0.9_1"
"135","Gaussian",200,0.9,1,"DP-diffuse",5,"Gaussian_200_0.9_1_DP-diffuse","Gaussian_200_0.9_1"
"136","Gaussian",200,0.9,1,"DP-EB",5,"Gaussian_200_0.9_1_DP-EB","Gaussian_200_0.9_1"
"137","Gaussian",200,0.9,5,"Gaussian",5,"Gaussian_200_0.9_5_Gaussian","Gaussian_200_0.9_5"
"138","Gaussian",200,0.9,5,"T",5,"Gaussian_200_0.9_5_T","Gaussian_200_0.9_5"
"139","Gaussian",200,0.9,5,"DP-diffuse",5,"Gaussian_200_0.9_5_DP-diffuse","Gaussian_200_0.9_5"
"140","Gaussian",200,0.9,5,"DP-EB",5,"Gaussian_200_0.9_5_DP-EB","Gaussian_200_0.9_5"
"141","Gaussian",200,0.9,10,"Gaussian",5,"Gaussian_200_0.9_10_Gaussian","Gaussian_200_0.9_10"
"142","Gaussian",200,0.9,10,"T",5,"Gaussian_200_0.9_10_T","Gaussian_200_0.9_10"
"143","Gaussian",200,0.9,10,"DP-diffuse",5,"Gaussian_200_0.9_10_DP-diffuse","Gaussian_200_0.9_10"
"144","Gaussian",200,0.9,10,"DP-EB",5,"Gaussian_200_0.9_10_DP-EB","Gaussian_200_0.9_10"
"145","T",25,0.1,1,"Gaussian",5,"T_25_0.1_1_Gaussian","T_25_0.1_1"
"146","T",25,0.1,1,"T",5,"T_25_0.1_1_T","T_25_0.1_1"
"147","T",25,0.1,1,"DP-diffuse",5,"T_25_0.1_1_DP-diffuse","T_25_0.1_1"
"148","T",25,0.1,1,"DP-EB",5,"T_25_0.1_1_DP-EB","T_25_0.1_1"
"149","T",25,0.1,5,"Gaussian",5,"T_25_0.1_5_Gaussian","T_25_0.1_5"
"150","T",25,0.1,5,"T",5,"T_25_0.1_5_T","T_25_0.1_5"
"151","T",25,0.1,5,"DP-diffuse",5,"T_25_0.1_5_DP-diffuse","T_25_0.1_5"
"152","T",25,0.1,5,"DP-EB",5,"T_25_0.1_5_DP-EB","T_25_0.1_5"
"153","T",25,0.1,10,"Gaussian",5,"T_25_0.1_10_Gaussian","T_25_0.1_10"
"154","T",25,0.1,10,"T",5,"T_25_0.1_10_T","T_25_0.1_10"
"155","T",25,0.1,10,"DP-diffuse",5,"T_25_0.1_10_DP-diffuse","T_25_0.1_10"
"156","T",25,0.1,10,"DP-EB",5,"T_25_0.1_10_DP-EB","T_25_0.1_10"
"157","T",25,0.5,1,"Gaussian",5,"T_25_0.5_1_Gaussian","T_25_0.5_1"
"158","T",25,0.5,1,"T",5,"T_25_0.5_1_T","T_25_0.5_1"
"159","T",25,0.5,1,"DP-diffuse",5,"T_25_0.5_1_DP-diffuse","T_25_0.5_1"
"160","T",25,0.5,1,"DP-EB",5,"T_25_0.5_1_DP-EB","T_25_0.5_1"
"161","T",25,0.5,5,"Gaussian",5,"T_25_0.5_5_Gaussian","T_25_0.5_5"
"162","T",25,0.5,5,"T",5,"T_25_0.5_5_T","T_25_0.5_5"
"163","T",25,0.5,5,"DP-diffuse",5,"T_25_0.5_5_DP-diffuse","T_25_0.5_5"
"164","T",25,0.5,5,"DP-EB",5,"T_25_0.5_5_DP-EB","T_25_0.5_5"
"165","T",25,0.5,10,"Gaussian",5,"T_25_0.5_10_Gaussian","T_25_0.5_10"
"166","T",25,0.5,10,"T",5,"T_25_0.5_10_T","T_25_0.5_10"
"167","T",25,0.5,10,"DP-diffuse",5,"T_25_0.5_10_DP-diffuse","T_25_0.5_10"
"168","T",25,0.5,10,"DP-EB",5,"T_25_0.5_10_DP-EB","T_25_0.5_10"
"169","T",25,0.9,1,"Gaussian",5,"T_25_0.9_1_Gaussian","T_25_0.9_1"
"170","T",25,0.9,1,"T",5,"T_25_0.9_1_T","T_25_0.9_1"
"171","T",25,0.9,1,"DP-diffuse",5,"T_25_0.9_1_DP-diffuse","T_25_0.9_1"
"172","T",25,0.9,1,"DP-EB",5,"T_25_0.9_1_DP-EB","T_25_0.9_1"
"173","T",25,0.9,5,"Gaussian",5,"T_25_0.9_5_Gaussian","T_25_0.9_5"
"174","T",25,0.9,5,"T",5,"T_25_0.9_5_T","T_25_0.9_5"
"175","T",25,0.9,5,"DP-diffuse",5,"T_25_0.9_5_DP-diffuse","T_25_0.9_5"
"176","T",25,0.9,5,"DP-EB",5,"T_25_0.9_5_DP-EB","T_25_0.9_5"
"177","T",25,0.9,10,"Gaussian",5,"T_25_0.9_10_Gaussian","T_25_0.9_10"
"178","T",25,0.9,10,"T",5,"T_25_0.9_10_T","T_25_0.9_10"
"179","T",25,0.9,10,"DP-diffuse",5,"T_25_0.9_10_DP-diffuse","T_25_0.9_10"
