"","truth","assumed","rgt","rsr","n","df","fname"
"286","Skew","Gaussian",10,10,50,5,"Skew_Gaussian_10_10_50"
"287","Skew","T",10,10,50,5,"Skew_T_10_10_50"
"288","Skew","DP",10,10,50,5,"Skew_DP_10_10_50"
"289","Gaussian","Gaussian",0.1,1,100,5,"Gaussian_Gaussian_0.1_1_100"
"290","Gaussian","T",0.1,1,100,5,"Gaussian_T_0.1_1_100"
"291","Gaussian","DP",0.1,1,100,5,"Gaussian_DP_0.1_1_100"
"292","T","Gaussian",0.1,1,100,5,"T_Gaussian_0.1_1_100"
"293","T","T",0.1,1,100,5,"T_T_0.1_1_100"
"294","T","DP",0.1,1,100,5,"T_DP_0.1_1_100"
"295","Mix","Gaussian",0.1,1,100,5,"Mix_Gaussian_0.1_1_100"
"296","Mix","T",0.1,1,100,5,"Mix_T_0.1_1_100"
"297","Mix","DP",0.1,1,100,5,"Mix_DP_0.1_1_100"
"298","Skew","Gaussian",0.1,1,100,5,"Skew_Gaussian_0.1_1_100"
"299","Skew","T",0.1,1,100,5,"Skew_T_0.1_1_100"
"300","Skew","DP",0.1,1,100,5,"Skew_DP_0.1_1_100"
"301","Gaussian","Gaussian",0.1,5,100,5,"Gaussian_Gaussian_0.1_5_100"
"302","Gaussian","T",0.1,5,100,5,"Gaussian_T_0.1_5_100"
"303","Gaussian","DP",0.1,5,100,5,"Gaussian_DP_0.1_5_100"
"304","T","Gaussian",0.1,5,100,5,"T_Gaussian_0.1_5_100"
"305","T","T",0.1,5,100,5,"T_T_0.1_5_100"
"306","T","DP",0.1,5,100,5,"T_DP_0.1_5_100"
"307","Mix","Gaussian",0.1,5,100,5,"Mix_Gaussian_0.1_5_100"
"308","Mix","T",0.1,5,100,5,"Mix_T_0.1_5_100"
"309","Mix","DP",0.1,5,100,5,"Mix_DP_0.1_5_100"
"310","Skew","Gaussian",0.1,5,100,5,"Skew_Gaussian_0.1_5_100"
"311","Skew","T",0.1,5,100,5,"Skew_T_0.1_5_100"
"312","Skew","DP",0.1,5,100,5,"Skew_DP_0.1_5_100"
"313","Gaussian","Gaussian",0.1,10,100,5,"Gaussian_Gaussian_0.1_10_100"
"314","Gaussian","T",0.1,10,100,5,"Gaussian_T_0.1_10_100"
"315","Gaussian","DP",0.1,10,100,5,"Gaussian_DP_0.1_10_100"
"316","T","Gaussian",0.1,10,100,5,"T_Gaussian_0.1_10_100"
"317","T","T",0.1,10,100,5,"T_T_0.1_10_100"
"318","T","DP",0.1,10,100,5,"T_DP_0.1_10_100"
"319","Mix","Gaussian",0.1,10,100,5,"Mix_Gaussian_0.1_10_100"
"320","Mix","T",0.1,10,100,5,"Mix_T_0.1_10_100"
"321","Mix","DP",0.1,10,100,5,"Mix_DP_0.1_10_100"
"322","Skew","Gaussian",0.1,10,100,5,"Skew_Gaussian_0.1_10_100"
"323","Skew","T",0.1,10,100,5,"Skew_T_0.1_10_100"
"324","Skew","DP",0.1,10,100,5,"Skew_DP_0.1_10_100"
"325","Gaussian","Gaussian",0.33,1,100,5,"Gaussian_Gaussian_0.33_1_100"
"326","Gaussian","T",0.33,1,100,5,"Gaussian_T_0.33_1_100"
"327","Gaussian","DP",0.33,1,100,5,"Gaussian_DP_0.33_1_100"
"328","T","Gaussian",0.33,1,100,5,"T_Gaussian_0.33_1_100"
"329","T","T",0.33,1,100,5,"T_T_0.33_1_100"
"330","T","DP",0.33,1,100,5,"T_DP_0.33_1_100"
"331","Mix","Gaussian",0.33,1,100,5,"Mix_Gaussian_0.33_1_100"
"332","Mix","T",0.33,1,100,5,"Mix_T_0.33_1_100"
"333","Mix","DP",0.33,1,100,5,"Mix_DP_0.33_1_100"
"334","Skew","Gaussian",0.33,1,100,5,"Skew_Gaussian_0.33_1_100"
"335","Skew","T",0.33,1,100,5,"Skew_T_0.33_1_100"
"336","Skew","DP",0.33,1,100,5,"Skew_DP_0.33_1_100"
"337","Gaussian","Gaussian",0.33,5,100,5,"Gaussian_Gaussian_0.33_5_100"
"338","Gaussian","T",0.33,5,100,5,"Gaussian_T_0.33_5_100"
"339","Gaussian","DP",0.33,5,100,5,"Gaussian_DP_0.33_5_100"
"340","T","Gaussian",0.33,5,100,5,"T_Gaussian_0.33_5_100"
"341","T","T",0.33,5,100,5,"T_T_0.33_5_100"
"342","T","DP",0.33,5,100,5,"T_DP_0.33_5_100"
"343","Mix","Gaussian",0.33,5,100,5,"Mix_Gaussian_0.33_5_100"
"344","Mix","T",0.33,5,100,5,"Mix_T_0.33_5_100"
"345","Mix","DP",0.33,5,100,5,"Mix_DP_0.33_5_100"
"346","Skew","Gaussian",0.33,5,100,5,"Skew_Gaussian_0.33_5_100"
"347","Skew","T",0.33,5,100,5,"Skew_T_0.33_5_100"
"348","Skew","DP",0.33,5,100,5,"Skew_DP_0.33_5_100"
"349","Gaussian","Gaussian",0.33,10,100,5,"Gaussian_Gaussian_0.33_10_100"
"350","Gaussian","T",0.33,10,100,5,"Gaussian_T_0.33_10_100"
"351","Gaussian","DP",0.33,10,100,5,"Gaussian_DP_0.33_10_100"
"352","T","Gaussian",0.33,10,100,5,"T_Gaussian_0.33_10_100"
"353","T","T",0.33,10,100,5,"T_T_0.33_10_100"
"354","T","DP",0.33,10,100,5,"T_DP_0.33_10_100"
"355","Mix","Gaussian",0.33,10,100,5,"Mix_Gaussian_0.33_10_100"
"356","Mix","T",0.33,10,100,5,"Mix_T_0.33_10_100"
"357","Mix","DP",0.33,10,100,5,"Mix_DP_0.33_10_100"
"358","Skew","Gaussian",0.33,10,100,5,"Skew_Gaussian_0.33_10_100"
"359","Skew","T",0.33,10,100,5,"Skew_T_0.33_10_100"
"360","Skew","DP",0.33,10,100,5,"Skew_DP_0.33_10_100"
"361","Gaussian","Gaussian",1,1,100,5,"Gaussian_Gaussian_1_1_100"
"362","Gaussian","T",1,1,100,5,"Gaussian_T_1_1_100"
"363","Gaussian","DP",1,1,100,5,"Gaussian_DP_1_1_100"
"364","T","Gaussian",1,1,100,5,"T_Gaussian_1_1_100"
"365","T","T",1,1,100,5,"T_T_1_1_100"
"366","T","DP",1,1,100,5,"T_DP_1_1_100"
"367","Mix","Gaussian",1,1,100,5,"Mix_Gaussian_1_1_100"
"368","Mix","T",1,1,100,5,"Mix_T_1_1_100"
"369","Mix","DP",1,1,100,5,"Mix_DP_1_1_100"
"370","Skew","Gaussian",1,1,100,5,"Skew_Gaussian_1_1_100"
"371","Skew","T",1,1,100,5,"Skew_T_1_1_100"
"372","Skew","DP",1,1,100,5,"Skew_DP_1_1_100"
"373","Gaussian","Gaussian",1,5,100,5,"Gaussian_Gaussian_1_5_100"
"374","Gaussian","T",1,5,100,5,"Gaussian_T_1_5_100"
"375","Gaussian","DP",1,5,100,5,"Gaussian_DP_1_5_100"
"376","T","Gaussian",1,5,100,5,"T_Gaussian_1_5_100"
"377","T","T",1,5,100,5,"T_T_1_5_100"
"378","T","DP",1,5,100,5,"T_DP_1_5_100"
"379","Mix","Gaussian",1,5,100,5,"Mix_Gaussian_1_5_100"
